code,name,category_path,unit,first_date,last_date,n_observations,n_quoted
882,- Soave,Uve/Vino > PRODUZIONE BIOLOGICA 2021  (prezzo E/litro),EUR/L,2022-02-28,2023-01-30,60,60
883,- Pinot grigio delle venezie,Uve/Vino > PRODUZIONE BIOLOGICA 2021  (prezzo E/litro),EUR/L,2022-02-28,2023-01-30,60,60
884,- Valpolicella d.o.c  classico,Uve/Vino > PRODUZIONE BIOLOGICA 2021  (prezzo E/litro),EUR/L,2022-02-28,2023-01-30,60,60
885,- Uve atte a doc Bardolino,Uve/Vino > UVA DA VINO > UVE DA VINO DI PRODUZIONE BIOLOGICA,EUR/kg,2022-09-12,2025-10-15,37,16
886,- Uve atte a doc Custoza,Uve/Vino > UVA DA VINO > UVE DA VINO DI PRODUZIONE BIOLOGICA,EUR/kg,2022-09-12,2025-10-15,38,23
887,- Uve atte a pinot grigio doc delle Venezie,Uve/Vino > UVA DA VINO > UVE DA VINO DI PRODUZIONE BIOLOGICA,EUR/kg,2022-09-12,2025-10-15,41,33
888,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > BARDOLINO (quotazione base per litro)COPIA,EUR/L,2022-09-12,2022-09-12,1,0
889,- d.o.c. chiaretto,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > BARDOLINO (quotazione base per litro)COPIA,EUR/L,2022-09-12,2022-09-12,1,0
890,- d.o.c. classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > BARDOLINO (quotazione base per litro)COPIA,EUR/L,2022-09-12,2022-09-12,1,0
891,Ibrido alimentare (comunitario),CEREALI (prezzo base per Tonnellata) > GRANTURCO,EUR/t,2022-09-19,2026-08-31,194,42
892,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > BARDOLINO (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,65,52
893,- d.o.c. chiaretto,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > BARDOLINO (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,65,52
894,- d.o.c. classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > BARDOLINO (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,65,52
898,- d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-09-26,2024-07-01,110,92
899,- d.o.c. classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-09-26,2024-07-01,108,84
900,- d.o.c. classico ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-09-26,2024-02-29,71,21
901,- d.o.c.  ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-09-26,2024-02-29,71,21
902,- d.o.c. superiore,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-09-26,2024-09-30,118,88
903,- d.o.c. superiore classico,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-09-26,2024-09-30,118,88
904,- d.o.c. (quotazione base per 1 grado/100 litri),Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > SOAVE,EUR/grado-hL,2022-09-26,2024-01-30,81,67
905,- d.o.c. classico (prezzo E/litro),Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > SOAVE,EUR/L,2022-09-26,2024-03-30,91,76
906,d.o.c.,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > CUSTOZA (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,62,43
907,- d.o.c. garganega,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > GARDA (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,64,49
908,- d.o.c. pinot grigio,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > GARDA (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,65,52
909,d.o.c. chardonnay,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > GARDA (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,65,52
910,d.o.c. bianco,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2022 > GARDA (prezzo E/litro),EUR/L,2022-09-26,2023-10-23,64,49
